scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
CTD,CTDBP-NO,ctdbp_no_seawater_pressure,sea_water_pressure,PD3647,function,,float32,,dbar,-9999999,Seawater Pressure,3,,PFID96,"{""p0"":""PD195"",""t0"":""PD196"",""C1"":""CC_C1"",""C2"":""CC_C2"",""C3"":""CC_C3"",""D1"":""CC_D1"",""D2"":""CC_D2"",""T1"":""CC_T1"",""T2"":""CC_T2"",""T3"":""CC_T3"",""T4"":""CC_T4"",""T5"":""CC_T5""}",PRESWAT,sea_water_pressure,PRESWAT_L1,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor.,Seawater Pressure,Science Data,L1
"CTD, Deprecated - to be replaced by PD910?",CTDBP-NO,ctdbp_no_seawater_conductivity,sea_water_electrical_conductivity,PD3648,function,,float32,,S m-1,-9999999,Seawater Conductivity,6,,PFID37,"{""c0"":""PD194"",""t1"":""PD908"",""p1"":""PD3647"",""g"":""CC_g"",""h"":""CC_h"",""i"":""CC_i"",""j"":""CC_j"",""cpcor"":""CC_cpcor"",""ctcor"":""CC_ctcor""}",CONDWAT,sea_water_electrical_conductivity,CONDWAT_L1,"Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater.",Seawater Electrical Conductivity,Science Data,L1
TO-DO,VELPT-J,velpt_j_eastward_velocity,velpt_j_eastward_velocity,PD3652,function,,float32,,m s-1,-9999999,Eastward Mean Point Seawater Velocity,4,,PFID55,"{""u"":""PD2608"",""v"":""PD2609"",""lat"":""CC_lat"",""lon"":""CC_lon"",""timestamp"":""PD7""}",VELPTMN-VLE,,VELPTMN-VLE_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the eastward component of mean point seawater velocity in earth coordinates relative to true north (accounted for magnetic variation).",Eastward Mean Point Seawater Velocity,Science Data,L1
TO-DO,VELPT-J,velpt_j_northward_velocity,velpt_j_northward_velocity,PD3653,function,,float32,,m s-1,-9999999,Northward Mean Point Seawater Velocity,4,,PFID56,"{""u"":""PD2608"",""v"":""PD2609"",""lat"":""CC_lat"",""lon"":""CC_lon"",""timestamp"":""PD7""}",VELPTMN-VLN,,VELPTMN-VLN_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the northward component of mean point seawater velocity in earth coordinates relative to true north (accounted for magnetic variation).",Northward Mean Point Seawater Velocity,Science Data,L1
TO-DO,VELPT-J,velpt_j_upward_velocity,velpt_j_upward_velocity,PD3654,function,,float32,,m s-1,-9999999,Upward Mean Point Seawater Velocity,4,,PFID58,"{""w"":""PD2610""}",VELPTMN-VLU,,VELPTMN-VLU_L1,"Mean Point Seawater Velocity refers to the velocity (speed and direction) of a single ""point"" of water (in this case, a volume of several square meters) averaged over time-scales associated with surface gravity waves. This instrument estimates water velocity by measuring the Doppler shift of acoustic signals reflected by particles suspended in the water. This data product is the upward component of mean point seawater velocity.",Upward Mean Point Seawater Velocity,Science Data,L1
TO-DO,BOTPT,botsflu_time15s,botsflu_time15s,PD3655,function,,float64,,seconds since 1900-01-01,-9999999,Seafloor Uplift and Deflation - Timestamp 15s,4,,PFID179,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,TIME15S,These auxiliary data products are timestamps anchored at multiples of 15 seconds past the minute which correspond to the time base for the BOTSFLU data products which are binned on 15 seconds.,Seafloor Uplift and Deflation - Timestamp 15s,Auxiliary Data,
TO-DO,BOTPT,botsflu_meanpres,botsflu_meanpres,PD3656,function,,float32,,psi,-9999999,Seafloor Uplift and Deflation - Mean Seafloor Pressure,4,,PFID180,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-MEANPRES,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is 15-second mean seafloor pressure.",Seafloor Uplift and Deflation - 15-sec Mean Seafloor Pressure,Science Data,L2
TO-DO,BOTPT,botsflu_meandepth,botsflu_meandepth,PD3657,function,,float32,,m,-9999999,Seafloor Uplift and Deflation - Mean Seafloor Depth,4,,PFID181,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-MEANDEPTH,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is derived by conversion of the 15-second mean seafloor pressure and removal of the tidal signal predicted for the BOTPT instrument location.",Seafloor Uplift and Deflation - 15-sec Mean Seafloor Depth Detided,Science Data,L2
TO-DO,BOTPT,botsflu_5minrate,botsflu_5minrate,PD3658,function,,float32,,cm min-1,-9999999,Seafloor Uplift and Deflation - 5-Min Rate of Depth Change,4,,PFID182,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-5MINRATE,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is the instantaneous rate of depth change derived from the 15-sec Mean Seafloor Depth Detided using a backward-looking 5 minute reference point for the depth difference.",Seafloor Uplift and Deflation - 5-min Rate of Depth Change,Science Data,L2
TO-DO,BOTPT,botsflu_10minrate,botsflu_10minrate,PD3659,function,,float32,,cm hr-1,-9999999,Seafloor Uplift and Deflation - 10-Min Mean Seafloor Uplift Rate,4,,PFID183,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-10MINRATE,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product utilizes the 15-second Mean Seafloor Depth Detided and calculates a mean for each data point over a 10 minute backward-looking window. The rate is derived from the backward-looking depth difference between values with a 10 minute offset.",Seafloor Uplift and Deflation - 10-minute Mean Seafloor Uplift Rate,Science Data,L2
TO-DO,BOTPT,botsflu_time24h,botsflu_time24h,PD3660,function,,float64,,seconds since 1900-01-01,-9999999,Seafloor Uplift and Deflation - Timestamp 24h,4,,PFID184,"{""time15s"":""PD3655""}",,,TIME24H,These auxiliary data products are timestamps anchored at 00:00 hours GMT which correspond to the time base for the BOTSFLU data products which are binned on a day's worth of data.,Seafloor Uplift and Deflation - Timestamp 24h,Auxiliary Data,
TO-DO,BOTPT,botsflu_daydepth,botsflu_daydepth,PD3661,function,,float32,,m,-9999999,Seafloor Uplift and Deflation - Daily Mean Seafloor Depth,4,,PFID185,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-DAYDEPTH,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is calculated using a 24-hour window centered on 00:00 hours GMT and applied to 15-sec Mean Deafloor Depth Detided data. It is corrected for pressure sensor drift annually, or biennially, using ROV-based field measurements.",Seafloor Uplift and Deflation - Daily Mean Seafloor Depth,Science Data,L2
TO-DO,BOTPT,botsflu_4wkrate,botsflu_4wkrate,PD3662,function,,float32,,cm yr-1,-9999999,Seafloor Uplift and Deflation - 4-Week Mean Rate of Seafloor Uplift,4,,PFID186,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-4WKRATE,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is the mean rate of seafloor depth change as calculated by 4-week backwards-looking linear regressions. Uplift is positive.",Seafloor Uplift and Deflation - 4-Week Mean Rate of Seafloor Uplift,Science Data,L2
TO-DO,BOTPT,botsflu_8wkrate,botsflu_8wkrate,PD3663,function,,float32,,cm yr-1,-9999999,Seafloor Uplift and Deflation - 8-Week Mean Rate of Seafloor Uplift,4,,PFID187,"{""timestamp"":""PD7"", ""botpres"":""PD848""}",,,BOTSFLU-8WKRATE,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is the mean rate of seafloor depth change as calculated by 8-week backwards-looking linear regressions. Uplift is positive.",Seafloor Uplift and Deflation - 8-Week Mean Rate of Seafloor Uplift,Science Data,L2
TO-DO,BOTPT,botsflu_predtide,botsflu_predtide,PD3664,function,,float32,,m,-9999999,Seafloor Uplift and Deflation - Predicted Tide,4,,PFID188,"{""time"":""PD3655""}",,,BOTSFLU-PREDTIDE,"Seafloor Uplift and Deflation is a measure of the inflation and deflation (i.e., ""breathing"") of the seafloor. These data are calculated using Nano-resolution Bottom Pressure. This data product is the tide calculated at 15-second time intervals for the location of each BOTPT instrument using tide-prediction software.",Seafloor Uplift and Deflation - 15-sec Predicted Tide,Science Data,L2
CTD,CTDPF,ctdpf_ckl_mmp_cds_seawater_conductivity,sea_water_electrical_conductivity,PD3666,function,,float32,,S m-1,-9999999,Seawater Conductivity,6,,PFID189,"{""value"":""PD1552"", ""scaler"":0.10}",CONDWAT,sea_water_electrical_conductivity,CONDWAT_L1,"Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater.",Seawater Electrical Conductivity,Science Data,L1
TO-DO,,water_velocity_forward,water_velocity_forward,PD3669,array<quantity>,,int16,,mm s-1,-9999,Eastward Seawater Velocity,0,,,,VELPROF-VLE,,VELPROF-VLE_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the eastward seawater velocity component.,Eastward Seawater Velocity Profile,,L0
TO-DO,,water_velocity_starboard,water_velocity_starboard,PD3670,array<quantity>,,int16,,mm s-1,-9999,Northward Seawater Velocity,0,,,,VELPROF-VLN,,VELPROF-VLN_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the northward seawater velocity component.,Northward Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,,water_velocity_vertical,water_velocity_vertical,PD3671,array<quantity>,,int16,,mm s-1,-9999,Upward Seawater Velocity,0,,,,VELPROF-VLU,,VELPROF-VLU_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the upward seawater velocity component.,Upward Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,,bt_forward_velocity,bt_forward_velocity,PD3672,quantity,,int16,,mm s-1,-9999,Bt Forward Velocity,0,,,,,,,Forward bottom-tracked velocity,,,
TO-DO,,bt_starboard_velocity,bt_starboard_velocity,PD3673,quantity,,int16,,mm s-1,-9999,Bt Starboard Velocity,0,,,,,,,Starboard bottom-tracked velocity,,,
TO-DO,,bt_vertical_velocity,bt_vertical_velocity,PD3674,quantity,,int16,,mm s-1,-9999,Bt Vertical Velocity,0,,,,,,,Vertical bottom-tracked velocity,,,
TO-DO,,bt_forward_ref_layer_velocity,bt_forward_ref_layer_velocity,PD3675,quantity,,int16,,mm s-1,-9999,Bt Forward Ref Layer Velocity,0,,,,,,,Contains velocity data for the water reference layer for each beam. The BL-command explains the water reference layer.,,,
TO-DO,,bt_starboard_ref_layer_velocity,bt_starboard_ref_layer_velocity,PD3676,quantity,,int16,,mm s-1,-9999,Bt Starboard Ref Layer Velocity,0,,,,,,,Contains velocity data for the water reference layer for each beam. The BL-command explains the water reference layer.,,,
TO-DO,,bt_vertical_ref_layer_velocity,bt_vertical_ref_layer_velocity,PD3677,quantity,,int16,,mm s-1,-9999,Bt Vertical Ref Layer Velocity,0,,,,,,,Contains velocity data for the water reference layer for each beam. The BL-command explains the water reference layer.,,,
TO-DO,PHSEN,phsen_abcdef_signal_intensity_434,phsen_abcdef_signal_intensity_434,PD3691,function,,float32,,counts,-9999999,Optical Aborbance Signal Intensity at 434 Nm,0,,PFID45,"{""light"":""PD357""}",,,PH434SI_L0,Signal intensity at 434nm ranging from 0 to 4096 (corresponds to a direct current volt range of 0 to 5),,Unprocessed Data,L0
TO-DO,PHSEN,phsen_abcdef_signal_intensity_578,phsen_abcdef_signal_intensity_578,PD3692,function,,float32,,counts,-9999999,Optical Absorbance Signal Intensity at 578 Nm,0,,PFID46,"{""light"":""PD357""}",,,PH578SI_L0,Signal intensity at 578nm ranging from 0 to 4096 (corresponds to a direct current volt range of 0 to 5),,Unprocessed Data,L0
TO-DO,,winch_date,winch_date,PD3694,quantity,,string,,1,empty,"Winch's Date, YYYY-MM-DD",,,,,,,,"Winch's date has the format of YYYY-MM-DD where YYYY is the year, MM is the month and DD is the day of the month",,,
TO-DO,,winch_time,winch_time,PD3695,quantity,,string,,1,empty,"Winch's Time, HH-MM-SS.SSS",,,,,,,,"Winch's time has the format of HH-MM-SS.SSS where HH is the hour, MM is the minute and SS.SSS is the second",,,
TO-DO,,winch_state,winch_state,PD3696,quantity,,string,,1,empty,Winch's State,,,,,,,,"Winch's States are Idle, Haul_in, Pay_Out, ParkPosIn, ParkPosOut and Parked",,,
TO-DO,,winch_speed,winch_speed,PD3697,quantity,,int32,,cm s-1,-9999999,Winch's Speed,0,,,,,,,Winch's Speed is in centimeters per second,,,
TO-DO,,winch_payout,winch_payout,PD3698,quantity,,int32,,cm,-9999999,Winch's Payout,0,,,,,,,Winch's Payout is in centimeters,,,
TO-DO,,winch_current_draw,winch_current_draw,PD3699,quantity,,float32,,A,-9999999,Winch's Current Draw,4,,,,,,,Winch's Current Draw in amp,,,
TO-DO,,sensor_current_draw,sensor_current_draw,PD3700,quantity,,float32,,A,-9999999,Sensor's Current Draw,4,,,,,,,Sensor's Current Draw in amp,,,
TO-DO,,winch_status,winch_status,PD3701,quantity,,string,,1,empty,Winch's Status,,,,,,,,"Winch's Status (PrkPrgs,Brake-On, etc...)",,,
TO-DO,Gliders,sci_suna_timestamp,sci_suna_timestamp,PD3702,quantity,,float64,,seconds since 1970-01-01,,Timestamp of Sample Since 1970-01-01,4,,,,,,,Timestamp of sample in seconds since 1970-01-01,,,
TO-DO,Gliders,sci_suna_record_offset,sci_suna_record_offset,PD3703,quantity,,uint32,,B,9999999,Message Byte Count for Open Disk File,0,,,,,,,message byte count for open disk file in bytes,,,
TO-DO,Gliders,sci_suna_nitrate_um,sci_suna_nitrate_um,PD3704,quantity,,float32,,umol/L,,Nitrate Concentration,4,,,,,,NITRDIS_L1,Nitrate concentration,,Science Data,L1
TO-DO,Gliders,sci_suna_nitrate_mg,sci_suna_nitrate_mg,PD3705,quantity,,float32,,mg/L,,Nitrate Concentration,4,,,,,,,Nitrate concentration in mg/L,,,
CTD,,dpc_ctd_seawater_conductivity,sea_water_electrical_conductivity,PD3706,function,,float32,,S m-1,-9999999,Seawater Conductivity,6,,PFID189,"{""value"":""PD2934"", ""scaler"":0.10}",CONDWAT,sea_water_electrical_conductivity,CONDWAT_L1,"Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater.",Seawater Electrical Conductivity,Science Data,L1
TO-DO,FLNTU_X,flntu_x_mmp_cds_scat_seawater,flntu_x_mmp_cds_scat_seawater,PD3715,function,,float32,,m-1,-9999999,Total Scattering Coefficient of Pure Seawater,4,,PFID97,"{""degC"":""PD6"", ""psu"":""dpi_PRACSAL_L2"", ""theta"":""CC_scattering_angle"", ""wlngth"":""CC_measurement_wavelength"", ""delta"":""CC_depolarization_ratio""}",,,,Total scattering coefficient of pure seawater [m-1],,,
TO-DO,FDCHP,fdchp_a_tmpatur,fdchp_a_tmpatur,PD3716,function,"[""-obs"",""fdchp_a_time_L1""]",float32,,degrees_Celsius,-9999999,Sonic Air Temperature,4,,PFID190,"{""timestamp"":""PD7"",""sonicT"":""PD3474""}",,,TMPATUR_L1,Sonic Air Temperature refers to air temperature associated with eddies that flow over the ocean surface and is used to determine vertical fluxes of heat associated with the eddies.,Sonic Air Temperature,Science Data,L1
TO-DO,FDCHP,fdchp_a_windtur_north,fdchp_a_windtur_north,PD3717,function,"[""-obs"",""fdchp_a_time_L1""]",float32,,m s-1,-9999999,Wind Velocity - Northerly,4,,PFID191,"{""timestamp"":""PD7"",""sonicU"":""PD3471"",""sonicV"":""PD3472"",""sonicW"":""PD3473"",""heading"":""PD3480"",""rateX"":""PD3321"",""rateY"":""PD3322"",""rateZ"":""PD3323"",""accX"":""PD3475"",""accY"":""PD3476"",""accZ"":""PD3477"",""lat"":""CC_latitude""}",,,WINDTUR-VLN_L1,"The L1 windspeed data product WINDTUR-VLN_L1 from the FDCHP instrument, which collects 20 minutes of data every hour. The L1 data consists of these values less 30 seconds from both the beginning and end of each 12000 point dataset.",,,L1
TO-DO,FDCHP,fdchp_a_windtur_up,fdchp_a_windtur_up,PD3718,function,"[""-obs"",""fdchp_a_time_L1""]",float32,,m s-1,-9999999,Wind Velocity - Vertical,4,,PFID192,"{""timestamp"":""PD7"",""sonicU"":""PD3471"",""sonicV"":""PD3472"",""sonicW"":""PD3473"",""heading"":""PD3480"",""rateX"":""PD3321"",""rateY"":""PD3322"",""rateZ"":""PD3323"",""accX"":""PD3475"",""accY"":""PD3476"",""accZ"":""PD3477"",""lat"":""CC_latitude""}",,,WINDTUR-VLU_L1,"The L1 windspeed data product WINDTUR-VLU_L1 from the FDCHP instrument, which collects 20 minutes of data every hour. The L1 data consists of these values less 30 seconds from both the beginning and end of each 12000 point dataset.",,,L1
TO-DO,FDCHP,fdchp_a_windtur_west,fdchp_a_windtur_west,PD3719,function,"[""-obs"",""fdchp_a_time_L1""]",float32,,m s-1,-9999999,Wind Velocity - Westerly,4,,PFID193,"{""timestamp"":""PD7"",""sonicU"":""PD3471"",""sonicV"":""PD3472"",""sonicW"":""PD3473"",""heading"":""PD3480"",""rateX"":""PD3321"",""rateY"":""PD3322"",""rateZ"":""PD3323"",""accX"":""PD3475"",""accY"":""PD3476"",""accZ"":""PD3477"",""lat"":""CC_latitude""}",,,WINDTUR-VLW_L1,"The L1 windspeed data product WINDTUR-VLW_L1 from the FDCHP instrument, which collects 20 minutes of data every hour. The L1 data consists of these values less 30 seconds from both the beginning and end of each 12000 point dataset.",,,L1
TO-DO,FDCHP,fdchp_a_fluxhot,fdchp_a_fluxhot,PD3720,function,"[""-obs"",""fdchp_a_time_L2""]",float32,,m s-1 * K,-9999999,Direct Covariance Flux of Heat,4,,PFID194,"{""timestamp"":""PD7"",""sonicU"":""PD3471"",""sonicV"":""PD3472"",""sonicW"":""PD3473"",""sonicT"":""PD3474"",""heading"":""PD3480"",""rateX"":""PD3321"",""rateY"":""PD3322"",""rateZ"":""PD3323"",""accX"":""PD3475"",""accY"":""PD3476"",""accZ"":""PD3477"",""lat"":""CC_latitude""}",,,FLUXHOT_L2,"FLUXHOT_L2, the sonic buoyancy flux, from the FDCHP instrument, which collects 20 minutes of data every hour. There is one FLUXHOT value calculated for each 20 minute dataset of 12000 data records.",,Science Data,L2
TO-DO,FDCHP,fdchp_a_fluxmom_alongwind,fdchp_a_fluxmom_alongwind,PD3721,function,"[""-obs"",""fdchp_a_time_L2""]",float32,,m2 s-2,-9999999,Along-Wind Component of Momentum Flux,4,,PFID195,"{""timestamp"":""PD7"",""sonicU"":""PD3471"",""sonicV"":""PD3472"",""sonicW"":""PD3473"",""heading"":""PD3480"",""rateX"":""PD3321"",""rateY"":""PD3322"",""rateZ"":""PD3323"",""accX"":""PD3475"",""accY"":""PD3476"",""accZ"":""PD3477"",""lat"":""CC_latitude""}",,,FLUXMOM-U_L2,"FLUXMOM-U_L2, the along-wind component of the momentum flux, from the FDCHP instrument, which collects 20 minutes of data every hour. There is one FLUXMOM-U_L2 value calculated for each 20 minute dataset of 12000 data records.",,,L2
